entidade1,relacao,entidade2,classe_entidade1,classe_entidade2,propriedade_ontologia,metodo_extracao,fonte_url,sentenca_origem
capivara,possuiHabitat,banhado,Mamifero,TipoVegetacao,possuiHabitat,coocorrencia,https://pt.wikipedia.org/wiki/Esta%C3%A7%C3%A3o_Ecol%C3%B3gica_do_Taim,"Entre os bichos de maior porte estão: tartaruga , capivara , ratão-do-banhado , cachorro do mato , lontra , tuco-tuco e jacaré-de-papo-amarelo ."
ratão-do-banhado,possuiHabitat,banhado,Mamifero,TipoVegetacao,possuiHabitat,coocorrencia,https://pt.wikipedia.org/wiki/Esta%C3%A7%C3%A3o_Ecol%C3%B3gica_do_Taim,"Entre os bichos de maior porte estão: tartaruga , capivara , ratão-do-banhado , cachorro do mato , lontra , tuco-tuco e jacaré-de-papo-amarelo ."
lontra,possuiHabitat,banhado,Mamifero,TipoVegetacao,possuiHabitat,coocorrencia,https://pt.wikipedia.org/wiki/Esta%C3%A7%C3%A3o_Ecol%C3%B3gica_do_Taim,"Entre os bichos de maior porte estão: tartaruga , capivara , ratão-do-banhado , cachorro do mato , lontra , tuco-tuco e jacaré-de-papo-amarelo ."
jacaré,possuiHabitat,banhado,Reptil,TipoVegetacao,possuiHabitat,coocorrencia,https://pt.wikipedia.org/wiki/Esta%C3%A7%C3%A3o_Ecol%C3%B3gica_do_Taim,"Entre os bichos de maior porte estão: tartaruga , capivara , ratão-do-banhado , cachorro do mato , lontra , tuco-tuco e jacaré-de-papo-amarelo ."
jacaré-de-papo-amarelo,possuiHabitat,banhado,Reptil,TipoVegetacao,possuiHabitat,coocorrencia,https://pt.wikipedia.org/wiki/Esta%C3%A7%C3%A3o_Ecol%C3%B3gica_do_Taim,"Entre os bichos de maior porte estão: tartaruga , capivara , ratão-do-banhado , cachorro do mato , lontra , tuco-tuco e jacaré-de-papo-amarelo ."
tartaruga,possuiHabitat,banhado,Reptil,TipoVegetacao,possuiHabitat,coocorrencia,https://pt.wikipedia.org/wiki/Esta%C3%A7%C3%A3o_Ecol%C3%B3gica_do_Taim,"Entre os bichos de maior porte estão: tartaruga , capivara , ratão-do-banhado , cachorro do mato , lontra , tuco-tuco e jacaré-de-papo-amarelo ."
Lagoa Mirim,ligado,Lagoa Patos,CorpoHidrico,CorpoHidrico,,dep_parse,https://pt.wikipedia.org/wiki/Lagoa_Mirim,"A Lagoa Mirim está ligada à Lagoa dos Patos através do Canal de São Gonçalo , com uma extensão de 76 km."
capivaras,possuiHabitat,banhado,Mamifero,TipoVegetacao,possuiHabitat,coocorrencia,https://pt.wikipedia.org/wiki/BR-471,"As mortes de animais silvestres no leito da rodovia BR 471, nesse trecho, são objeto de atuação do Ministério Público Federal desde o ano de 1991 , quando foi instaurado
o Inquérito Civil nº 08119.000"
br 471,atravessaHabitat,banhado,Rodovia,TipoVegetacao,atravessaHabitat,coocorrencia,https://pt.wikipedia.org/wiki/BR-471,"As mortes de animais silvestres no leito da rodovia BR 471, nesse trecho, são objeto de atuação do Ministério Público Federal desde o ano de 1991 , quando foi instaurado
o Inquérito Civil nº 08119.000"
atropelamentos,envolveAnimal,capivaras,EventoAtropelamento,Mamifero,envolveAnimal,coocorrencia,https://pt.wikipedia.org/wiki/BR-471,"Ouvido, à época, o então Chefe da ESEC Taim, Engº Florestal Márcio Luiz Barragana Fernandes, relatou que tal fenômeno remonta à construção da estrada, havendo-se agravado com seu asfaltamento, na déca"
atropelamentos,envolveAnimal,aves,EventoAtropelamento,Ave,envolveAnimal,coocorrencia,https://pt.wikipedia.org/wiki/BR-471,"Ouvido, à época, o então Chefe da ESEC Taim, Engº Florestal Márcio Luiz Barragana Fernandes, relatou que tal fenômeno remonta à construção da estrada, havendo-se agravado com seu asfaltamento, na déca"
aves,possuiHabitat,banhado,Ave,TipoVegetacao,possuiHabitat,coocorrencia,https://pt.wikipedia.org/wiki/BR-471,"Ouvido, à época, o então Chefe da ESEC Taim, Engº Florestal Márcio Luiz Barragana Fernandes, relatou que tal fenômeno remonta à construção da estrada, havendo-se agravado com seu asfaltamento, na déca"
atropelamentos,ocorreDurantePeriodo,década,EventoAtropelamento,PeriodoTemporal,ocorreDurantePeriodo,coocorrencia,https://pt.wikipedia.org/wiki/BR-471,"Ouvido, à época, o então Chefe da ESEC Taim, Engº Florestal Márcio Luiz Barragana Fernandes, relatou que tal fenômeno remonta à construção da estrada, havendo-se agravado com seu asfaltamento, na déca"
atropelamentos,temCondicaoAmbiental,seca,EventoAtropelamento,CondicaoClimatica,temCondicaoAmbiental,coocorrencia,https://pt.wikipedia.org/wiki/BR-471,"Relatou, ainda, que a oscilação do nível hídrico do banhado que compõe a ESEC contribui para que os animais subam no talude da rodovia: na época de cheia, por ali encontrarem refúgio das águas e, na é"
atropelados,envolveAnimal,capivaras,EventoAtropelamento,Mamifero,envolveAnimal,coocorrencia,https://pt.wikipedia.org/wiki/BR-471,"Permanecendo inalterada a situação em 1993, consoante dá conta notícia publicada na edição de 4 de agosto de 1993 do jornal Zero Hora, segundo a qual “o trecho da BR-471 que corta a reserva virou cemi"
atropelados,ocorreEmRodovia,br-471,EventoAtropelamento,Rodovia,ocorreEmRodovia,coocorrencia,https://pt.wikipedia.org/wiki/BR-471,"Permanecendo inalterada a situação em 1993, consoante dá conta notícia publicada na edição de 4 de agosto de 1993 do jornal Zero Hora, segundo a qual “o trecho da BR-471 que corta a reserva virou cemi"
atropelamento,envolveAnimal,furão,EventoAtropelamento,Mamifero,envolveAnimal,coocorrencia,https://pt.wikipedia.org/wiki/BR-471,"Outros animais, contudo, por serem capazes de transpor o sistema por meio da escavação (tuco-tuco e furão), escalação (zorrilhos, gambás e pequenos roedores) e salto (felinos), permaneceram expostos a"
atropeladas,envolveAnimal,mamíferos,EventoAtropelamento,Mamifero,envolveAnimal,coocorrencia,https://pt.wikipedia.org/wiki/Cerdocyon_thous,é uma das espécies de mamíferos mais atropeladas em todo o Brasil.
capivara,chamar,porco-capivara,Mamifero,Mamifero,,dep_parse,https://pt.wikipedia.org/wiki/Hydrochoerus_hydrochaeris,"Em alguns locais do interior da Bahia , a capivara é chamada de porco-capivara , no sudeste do Pará por cunum e de cubu em alguns locais do estado de Goiás ."
capivara,possuiHabitat,vegetação,Mamifero,TipoVegetacao,possuiHabitat,coocorrencia,https://pt.wikipedia.org/wiki/Hydrochoerus_hydrochaeris,"Essas espécies utilizam a capivara como poleiro ou como batedor (ao andar entre a vegetação, a capivara pode espantar insetos que são ingeridos pelas aves), e para se alimentar de ectoparasitas ."
aves,possuiHabitat,vegetação,Ave,TipoVegetacao,possuiHabitat,coocorrencia,https://pt.wikipedia.org/wiki/Hydrochoerus_hydrochaeris,"Essas espécies utilizam a capivara como poleiro ou como batedor (ao andar entre a vegetação, a capivara pode espantar insetos que são ingeridos pelas aves), e para se alimentar de ectoparasitas ."
capivaras,possuiHabitat,vegetação,Mamifero,TipoVegetacao,possuiHabitat,coocorrencia,https://pt.wikipedia.org/wiki/Hydrochoerus_hydrochaeris,"As interações entre aves e capivaras são observadas principalmente em áreas com muita vegetação, como banhados arbustivos, matas e campos úmidos."
capivaras,possuiHabitat,banhados,Mamifero,TipoVegetacao,possuiHabitat,coocorrencia,https://pt.wikipedia.org/wiki/Hydrochoerus_hydrochaeris,"As interações entre aves e capivaras são observadas principalmente em áreas com muita vegetação, como banhados arbustivos, matas e campos úmidos."
aves,possuiHabitat,banhados,Ave,TipoVegetacao,possuiHabitat,coocorrencia,https://pt.wikipedia.org/wiki/Hydrochoerus_hydrochaeris,"As interações entre aves e capivaras são observadas principalmente em áreas com muita vegetação, como banhados arbustivos, matas e campos úmidos."
atropelamento,ocorreEmRodovia,br-471,EventoAtropelamento,Rodovia,ocorreEmRodovia,coocorrencia,wikidata:sparql:Caiman latirostris,"e é encontrada na região da Estação Ecológica do Taim, onde está sujeita a atropelamento na rodovia BR-471."
br-471,atravessaHabitat,banhado,Rodovia,TipoVegetacao,atravessaHabitat,coocorrencia,https://servicodados.ibge.gov.br/api/v1/localidades/municipios/4315602,"Rio Grande pertence à região imediata de Pelotas e encontra-se na área de influência da Estação Ecológica do Taim, sendo atravessado pela rodovia BR-471 que intercepta habitats de banhado e lagoas."
br-471,atravessaHabitat,lagoas,Rodovia,CorpoHidrico,atravessaHabitat,coocorrencia,https://servicodados.ibge.gov.br/api/v1/localidades/municipios/4315602,"Rio Grande pertence à região imediata de Pelotas e encontra-se na área de influência da Estação Ecológica do Taim, sendo atravessado pela rodovia BR-471 que intercepta habitats de banhado e lagoas."
